Provider,TotalClaims,UniqueBeneficiaries,UniquePhysicians,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_std,DeductibleAmtPaid_sum,DeductibleAmtPaid_mean,NoOfMonths_PartACov_mean,NoOfMonths_PartBCov_mean,IPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_mean,ChronicCond_Alzheimer_mean,ChronicCond_Heartfailure_mean,ChronicCond_KidneyDisease_mean,ChronicCond_Cancer_mean,ChronicCond_ObstrPulmonary_mean,ChronicCond_Depression_mean,ChronicCond_Diabetes_mean,ChronicCond_IschemicHeart_mean,ChronicCond_Osteoporasis_mean,ChronicCond_rheumatoidarthritis_mean,ChronicCond_stroke_mean,RenalDiseaseIndicator_mean,PotentialFraud,PotentialFraud_Encoded
PRV51917,11,9,1,970,88.18181818181819,142.25457334076694,0.0,0.0,12.0,12.0,1454.5454545454545,2615.4545454545455,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.5454545454545454,0.8181818181818182,0.36363636363636365,0.36363636363636365,0.0,0.09090909090909091,No,0
PRV51918,1,1,1,50,50.0,,0.0,0.0,12.0,12.0,0.0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No,0
PRV51919,6,6,3,101000,16833.333333333332,14729.788412148582,6408.0,1068.0,12.0,12.0,36648.333333333336,1553.3333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.0,0.16666666666666666,No,0
PRV51920,18,18,3,100700,5594.444444444444,13254.7750429009,9712.0,539.5555555555555,12.0,12.0,12941.666666666666,2035.0,0.2777777777777778,0.7222222222222222,0.5,0.16666666666666666,0.2777777777777778,0.3888888888888889,0.6666666666666666,0.7222222222222222,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2777777777777778,Yes,1
PRV51921,70,24,1,19290,275.57142857142856,573.773766744112,170.0,2.4285714285714284,12.0,9.771428571428572,2222.8571428571427,3593.8571428571427,0.4714285714285714,0.32857142857142857,0.4714285714285714,0.21428571428571427,0.12857142857142856,0.4857142857142857,0.5714285714285714,0.9285714285714286,0.21428571428571427,0.3142857142857143,0.014285714285714285,0.11428571428571428,No,0
PRV51922,24,11,7,5090,212.08333333333334,273.81331575374116,100.0,4.166666666666667,12.0,12.0,10475.416666666666,1641.6666666666667,0.5416666666666666,0.5416666666666666,0.5,0.25,0.4166666666666667,0.25,0.9166666666666666,0.7083333333333334,0.4583333333333333,0.2916666666666667,0.08333333333333333,0.041666666666666664,No,0
PRV51923,9,7,2,1040,115.55555555555556,220.80031199655897,100.0,11.11111111111111,12.0,11.444444444444445,1222.2222222222222,882.2222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,No,0
PRV51924,50,25,6,15710,314.2,550.2210687440057,100.0,2.0,12.0,12.0,2065.6,2585.4,0.38,0.66,0.5,0.2,0.36,0.36,0.82,0.7,0.44,0.4,0.1,0.14,No,0
PRV51925,4,3,1,1960,490.0,810.6376091283536,0.0,0.0,12.0,9.0,2000.0,592.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.75,0.0,0.0,No,0
PRV51926,32,30,5,13870,433.4375,777.629190075877,140.0,4.375,12.0,12.0,3554.375,3171.5625,0.375,0.625,0.34375,0.25,0.28125,0.4375,0.75,0.78125,0.375,0.3125,0.125,0.09375,No,0
PRV51927,6,6,2,64050,10675.0,7566.620778128107,5340.0,890.0,12.0,12.0,19760.0,621.6666666666666,0.5,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,No,0
PRV51928,30,30,9,7140,238.0,471.1277738685598,50.0,1.6666666666666667,12.0,12.0,4336.666666666667,1971.3333333333333,0.5,0.6333333333333333,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.5333333333333333,0.7333333333333333,0.8,0.36666666666666664,0.26666666666666666,0.23333333333333334,0.1,No,0
PRV51929,111,109,40,106630,960.6306306306307,2893.276305593328,9064.0,81.65765765765765,12.0,11.783783783783784,7016.306306306306,3454.5045045045044,0.42342342342342343,0.6216216216216216,0.4594594594594595,0.16216216216216217,0.24324324324324326,0.36036036036036034,0.8018018018018018,0.8198198198198198,0.2702702702702703,0.2882882882882883,0.05405405405405406,0.1981981981981982,No,0
PRV51930,6,6,4,1010,168.33333333333334,181.48461826465257,0.0,0.0,12.0,12.0,6166.666666666667,4545.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,No,0
PRV51931,46,45,21,18430,400.6521739130435,934.0982631486858,1158.0,25.17391304347826,12.0,11.91304347826087,5319.565217391304,1823.9130434782608,0.3695652173913043,0.5,0.391304347826087,0.13043478260869565,0.34782608695652173,0.5,0.717391304347826,0.717391304347826,0.34782608695652173,0.21739130434782608,0.10869565217391304,0.15217391304347827,No,0
PRV51932,21,21,8,31970,1522.3809523809523,4102.624653513778,2216.0,105.52380952380952,11.80952380952381,12.0,7603.809523809524,3187.1428571428573,0.47619047619047616,0.7142857142857143,0.47619047619047616,0.047619047619047616,0.38095238095238093,0.5714285714285714,0.7142857142857143,0.9523809523809523,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,No,0
PRV51933,57,56,44,14370,252.10526315789474,559.4025411164295,220.0,3.8596491228070176,11.789473684210526,11.894736842105264,5722.80701754386,2774.9122807017543,0.3157894736842105,0.543859649122807,0.38596491228070173,0.12280701754385964,0.2631578947368421,0.40350877192982454,0.6491228070175439,0.7368421052631579,0.2982456140350877,0.40350877192982454,0.05263157894736842,0.19298245614035087,No,0
PRV51934,111,111,18,27270,245.67567567567568,538.4635070299084,550.0,4.954954954954955,11.891891891891891,11.891891891891891,5258.648648648648,2287.2072072072074,0.4774774774774775,0.6216216216216216,0.43243243243243246,0.12612612612612611,0.2882882882882883,0.5045045045045045,0.6756756756756757,0.8018018018018018,0.3063063063063063,0.35135135135135137,0.08108108108108109,0.1981981981981982,No,0
PRV51935,57,55,39,38280,671.578947368421,2072.9230478737063,3304.0,57.96491228070175,12.0,12.0,2871.5789473684213,1820.3508771929824,0.2982456140350877,0.6140350877192983,0.42105263157894735,0.10526315789473684,0.43859649122807015,0.3684210526315789,0.6491228070175439,0.8245614035087719,0.2982456140350877,0.2982456140350877,0.10526315789473684,0.17543859649122806,No,0
PRV51936,20,20,18,4770,238.5,255.45161247443608,60.0,3.0,12.0,12.0,3804.5,1758.0,0.35,0.5,0.55,0.15,0.45,0.5,0.75,0.65,0.3,0.25,0.2,0.15,No,0
PRV51937,90,87,45,18270,203.0,421.9522578031412,160.0,1.7777777777777777,12.0,12.0,2420.6666666666665,1497.888888888889,0.37777777777777777,0.6,0.36666666666666664,0.1111111111111111,0.2,0.36666666666666664,0.7555555555555555,0.7888888888888889,0.3111111111111111,0.25555555555555554,0.15555555555555556,0.18888888888888888,No,0
PRV51938,106,95,3,42020,396.41509433962267,964.3948891642787,2296.0,21.660377358490567,11.88679245283019,11.88679245283019,3836.132075471698,1814.811320754717,0.32075471698113206,0.5566037735849056,0.44339622641509435,0.12264150943396226,0.29245283018867924,0.49056603773584906,0.6792452830188679,0.7547169811320755,0.29245283018867924,0.3113207547169811,0.12264150943396226,0.19811320754716982,No,0
PRV51940,251,227,21,1992270,7937.330677290836,10737.119038467214,200864.0,816.520325203252,11.952191235059761,11.928286852589641,15409.442231075696,2367.171314741036,0.4541832669322709,0.6573705179282868,0.5856573705179283,0.14342629482071714,0.4342629482071713,0.5298804780876494,0.7569721115537849,0.8326693227091634,0.3386454183266932,0.2948207171314741,0.13545816733067728,0.2589641434262948,Yes,1
PRV51941,27,27,20,17990,666.2962962962963,2130.920978479544,2176.0,80.5925925925926,12.0,12.0,4358.148148148148,3007.777777777778,0.2962962962962963,0.6296296296296297,0.37037037037037035,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.5925925925925926,0.7407407407407407,0.4074074074074074,0.25925925925925924,0.1111111111111111,0.2222222222222222,No,0
PRV51942,53,52,31,11880,224.1509433962264,518.1566215636415,50.0,0.9433962264150944,12.0,12.0,7369.622641509434,1758.1132075471698,0.4528301886792453,0.6037735849056604,0.3018867924528302,0.18867924528301888,0.2830188679245283,0.4716981132075472,0.660377358490566,0.7169811320754716,0.32075471698113206,0.32075471698113206,0.05660377358490566,0.20754716981132076,No,0
PRV51943,89,85,58,28970,325.5056179775281,1036.33972496294,1268.0,14.247191011235955,12.0,11.97752808988764,4977.752808988764,1788.426966292135,0.38202247191011235,0.6067415730337079,0.42696629213483145,0.06741573033707865,0.30337078651685395,0.34831460674157305,0.7640449438202247,0.7191011235955056,0.2808988764044944,0.2808988764044944,0.12359550561797752,0.19101123595505617,No,0
PRV51944,124,111,49,96100,775.0,2465.1827551441625,5620.0,45.32258064516129,11.709677419354838,11.903225806451612,5850.080645161291,3158.8709677419356,0.4274193548387097,0.6209677419354839,0.4435483870967742,0.1693548387096774,0.3387096774193548,0.41935483870967744,0.7419354838709677,0.7016129032258065,0.31451612903225806,0.3709677419354839,0.06451612903225806,0.1774193548387097,No,0
PRV51946,91,89,54,201370,2212.8571428571427,4357.143887587701,24684.0,271.25274725274727,12.0,12.0,6373.626373626374,1700.6593406593406,0.45054945054945056,0.5824175824175825,0.46153846153846156,0.13186813186813187,0.32967032967032966,0.5384615384615384,0.6923076923076923,0.8351648351648352,0.2857142857142857,0.2967032967032967,0.14285714285714285,0.14285714285714285,No,0
PRV51947,28,27,20,24090,860.3571428571429,4144.572070250758,1208.0,43.142857142857146,12.0,12.0,4689.285714285715,1118.9285714285713,0.35714285714285715,0.5714285714285714,0.5,0.2857142857142857,0.35714285714285715,0.32142857142857145,0.7142857142857143,0.9285714285714286,0.32142857142857145,0.39285714285714285,0.10714285714285714,0.17857142857142858,No,0
PRV51948,515,354,8,1519950,2951.359223300971,7427.503370589872,149482.0,292.52837573385517,11.899029126213593,11.897087378640776,7324.73786407767,2803.4951456310678,0.42330097087378643,0.6194174757281553,0.4174757281553398,0.10679611650485436,0.2854368932038835,0.40194174757281553,0.7456310679611651,0.8213592233009709,0.28932038834951457,0.32038834951456313,0.11067961165048544,0.23495145631067962,Yes,1
PRV51949,71,68,20,260140,3663.943661971831,12584.895876619408,20412.0,287.49295774647885,11.830985915492958,11.788732394366198,9288.450704225352,2746.1971830985917,0.43661971830985913,0.6197183098591549,0.36619718309859156,0.19718309859154928,0.28169014084507044,0.352112676056338,0.7746478873239436,0.8309859154929577,0.30985915492957744,0.3380281690140845,0.07042253521126761,0.2112676056338028,No,0
PRV51950,69,68,16,45770,663.3333333333334,2373.807234025907,2166.0,31.852941176470587,11.623188405797102,12.0,3246.9565217391305,2467.536231884058,0.4057971014492754,0.5652173913043478,0.391304347826087,0.15942028985507245,0.2898550724637681,0.3333333333333333,0.6666666666666666,0.7536231884057971,0.2898550724637681,0.2608695652173913,0.11594202898550725,0.17391304347826086,No,0
PRV51951,102,87,41,473010,4637.35294117647,8009.022378440303,51464.0,504.54901960784315,11.931372549019608,12.0,12464.70588235294,2226.078431372549,0.5490196078431373,0.7549019607843137,0.5,0.17647058823529413,0.4411764705882353,0.49019607843137253,0.7156862745098039,0.8431372549019608,0.22549019607843138,0.45098039215686275,0.11764705882352941,0.19607843137254902,Yes,1
PRV51952,19,19,7,2470,130.0,145.75474072716963,260.0,13.68421052631579,12.0,12.0,5520.526315789473,2149.4736842105262,0.3157894736842105,0.5789473684210527,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.631578947368421,0.631578947368421,0.3684210526315789,0.2631578947368421,0.0,0.15789473684210525,No,0
PRV51954,643,577,183,450930,701.2908242612752,3102.407021662711,24966.0,38.88785046728972,11.934681181959565,11.939346811819595,4616.236391912908,2469.860031104199,0.3514774494556765,0.5769828926905132,0.35769828926905134,0.1290824261275272,0.30171073094867806,0.4401244167962675,0.6765163297045101,0.7200622083981337,0.3001555209953344,0.27216174183514774,0.07309486780715396,0.16018662519440124,No,0
PRV51956,14,14,9,24110,1722.142857142857,3280.4788078558304,2236.0,159.71428571428572,12.0,12.0,4342.142857142857,1258.5714285714287,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7857142857142857,0.7857142857142857,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.14285714285714285,No,0
PRV51957,79,77,45,210190,2660.6329113924053,4802.049066316712,24634.0,315.8205128205128,12.0,12.0,7674.93670886076,1866.7088607594937,0.4430379746835443,0.5569620253164557,0.3670886075949367,0.22784810126582278,0.3037974683544304,0.4050632911392405,0.6582278481012658,0.8227848101265823,0.34177215189873417,0.3291139240506329,0.06329113924050633,0.17721518987341772,No,0
PRV51958,29,29,17,11000,379.3103448275862,804.8377433392698,1308.0,45.10344827586207,12.0,12.0,4986.551724137931,2153.793103448276,0.41379310344827586,0.4827586206896552,0.4827586206896552,0.2413793103448276,0.3793103448275862,0.4482758620689655,0.7241379310344828,0.8275862068965517,0.27586206896551724,0.3103448275862069,0.20689655172413793,0.20689655172413793,No,0
PRV51959,751,398,4,213350,284.08788282290277,563.0438114389012,2050.0,2.729693741677763,11.961384820239681,11.932090545938749,3701.2649800266313,1795.2063914780292,0.36617842876165113,0.5739014647137151,0.3715046604527297,0.12117177097203728,0.255659121171771,0.43275632490013316,0.6537949400798935,0.7163781624500666,0.3022636484687084,0.2809587217043941,0.10252996005326231,0.16245006657789615,No,0
PRV51960,48,45,6,266640,5555.0,10056.167579300713,22468.0,468.0833333333333,11.916666666666666,12.0,10966.666666666666,2302.9166666666665,0.4583333333333333,0.6458333333333334,0.4791666666666667,0.1875,0.375,0.5625,0.7916666666666666,0.8958333333333334,0.375,0.20833333333333334,0.20833333333333334,0.20833333333333334,No,0
PRV51961,159,137,2,46610,293.1446540880503,536.3945958779442,250.0,1.5723270440251573,12.0,11.924528301886792,6743.584905660377,2636.289308176101,0.31446540880503143,0.5408805031446541,0.44654088050314467,0.12578616352201258,0.3270440251572327,0.4591194968553459,0.6540880503144654,0.6729559748427673,0.2830188679245283,0.2830188679245283,0.1320754716981132,0.23270440251572327,No,0
PRV51963,54,48,1,13630,252.40740740740742,570.0113709067241,330.0,6.111111111111111,12.0,12.0,3502.222222222222,2049.074074074074,0.2962962962962963,0.6111111111111112,0.35185185185185186,0.07407407407407407,0.35185185185185186,0.42592592592592593,0.6296296296296297,0.7222222222222222,0.4074074074074074,0.2222222222222222,0.05555555555555555,0.2222222222222222,No,0
PRV51964,17,17,2,2440,143.52941176470588,213.97842112204293,60.0,3.5294117647058822,12.0,12.0,2655.8823529411766,1274.1176470588234,0.35294117647058826,0.5882352941176471,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.4117647058823529,0.7058823529411765,0.8235294117647058,0.29411764705882354,0.4117647058823529,0.11764705882352941,0.11764705882352941,No,0
PRV51965,19,18,3,2680,141.05263157894737,171.97851082950598,0.0,0.0,12.0,12.0,1473.6842105263158,1633.157894736842,0.631578947368421,0.5789473684210527,0.42105263157894735,0.21052631578947367,0.21052631578947367,0.47368421052631576,0.7368421052631579,0.7894736842105263,0.3684210526315789,0.3157894736842105,0.21052631578947367,0.05263157894736842,No,0
PRV51966,3,3,2,2450,816.6666666666666,1284.8475914805356,0.0,0.0,12.0,12.0,8000.0,2243.3333333333335,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,No,0
PRV51967,57,53,4,16830,295.2631578947368,639.6318842650207,180.0,3.1578947368421053,12.0,12.0,5572.105263157895,2125.7894736842104,0.2982456140350877,0.49122807017543857,0.3684210526315789,0.08771929824561403,0.21052631578947367,0.40350877192982454,0.7719298245614035,0.7192982456140351,0.2807017543859649,0.3684210526315789,0.05263157894736842,0.22807017543859648,No,0
PRV51968,1,1,1,90,90.0,,0.0,0.0,12.0,12.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0
PRV51969,42,39,2,15450,367.85714285714283,745.1781116742943,80.0,1.9047619047619047,11.714285714285714,12.0,8752.380952380952,3454.0476190476193,0.5238095238095238,0.5714285714285714,0.3333333333333333,0.16666666666666666,0.40476190476190477,0.5476190476190477,0.8333333333333334,0.8095238095238095,0.38095238095238093,0.23809523809523808,0.16666666666666666,0.19047619047619047,No,0
PRV51970,35,32,1,25410,726.0,1871.0050774917743,20.0,0.5714285714285714,11.657142857142857,11.485714285714286,2817.714285714286,2149.1428571428573,0.45714285714285713,0.6285714285714286,0.42857142857142855,0.17142857142857143,0.3142857142857143,0.42857142857142855,0.6571428571428571,0.8857142857142857,0.2857142857142857,0.17142857142857143,0.2857142857142857,0.3142857142857143,No,0
PRV51972,35,34,3,9460,270.2857142857143,616.1907922364426,70.0,2.0,12.0,12.0,6486.0,2664.8571428571427,0.37142857142857144,0.45714285714285713,0.34285714285714286,0.11428571428571428,0.2571428571428571,0.34285714285714286,0.6285714285714286,0.6571428571428571,0.3142857142857143,0.3142857142857143,0.05714285714285714,0.14285714285714285,No,0
PRV51973,74,63,2,19060,257.56756756756755,566.410981074408,200.0,2.7027027027027026,12.0,12.0,3502.162162162162,1963.1081081081081,0.40540540540540543,0.6216216216216216,0.44594594594594594,0.04054054054054054,0.36486486486486486,0.4864864864864865,0.7972972972972973,0.7702702702702703,0.35135135135135137,0.3783783783783784,0.13513513513513514,0.13513513513513514,No,0
PRV51974,4,4,2,710,177.5,217.00614430625384,50.0,12.5,12.0,12.0,4260.0,1110.0,0.75,0.75,0.0,0.25,0.5,0.0,0.75,0.75,0.5,0.0,0.25,0.0,No,0
PRV51976,7,7,1,61000,8714.285714285714,5765.248931147314,7476.0,1068.0,12.0,12.0,15894.285714285714,1188.5714285714287,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,No,0
PRV51977,1,1,1,8000,8000.0,,1068.0,1068.0,12.0,12.0,24420.0,11670.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,No,0
PRV51978,4,4,2,31000,7750.0,4425.306015783918,4272.0,1068.0,12.0,12.0,18505.0,2090.0,0.75,1.0,0.5,0.25,0.5,1.0,1.0,1.0,0.25,0.5,0.0,0.25,No,0
PRV51979,13,12,1,136000,10461.538461538461,6715.844258361274,13884.0,1068.0,12.0,12.0,18375.384615384617,1173.076923076923,0.46153846153846156,0.9230769230769231,0.7692307692307693,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.6153846153846154,1.0,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.15384615384615385,Yes,1
PRV51981,5,5,2,18000,3600.0,1816.590212458495,5340.0,1068.0,12.0,12.0,9476.0,1256.0,0.6,0.8,0.6,0.0,0.8,0.8,0.8,1.0,0.6,0.6,0.2,0.2,No,0
PRV51983,40,39,25,7050,176.25,392.3086664140747,280.0,7.0,12.0,11.975,5465.0,2112.0,0.325,0.675,0.5,0.2,0.275,0.4,0.8,0.825,0.325,0.275,0.025,0.2,No,0
PRV51984,525,337,34,160780,306.247619047619,606.8793091049506,1420.0,2.704761904761905,11.977142857142857,11.93142857142857,4627.409523809524,2638.019047619048,0.37714285714285717,0.5828571428571429,0.4438095238095238,0.14666666666666667,0.30857142857142855,0.4266666666666667,0.7028571428571428,0.8019047619047619,0.26476190476190475,0.2761904761904762,0.11428571428571428,0.24761904761904763,No,0
PRV51987,2,2,2,30,15.0,7.0710678118654755,0.0,0.0,12.0,12.0,5100.0,3040.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,No,0
PRV51988,37,32,2,12230,330.5405405405405,643.8769117443778,190.0,5.135135135135135,11.35135135135135,12.0,5792.972972972973,3009.7297297297296,0.40540540540540543,0.6486486486486487,0.35135135135135137,0.08108108108108109,0.21621621621621623,0.5405405405405406,0.7567567567567568,0.918918918918919,0.35135135135135137,0.2702702702702703,0.08108108108108109,0.2702702702702703,No,0
PRV51989,18,18,1,4060,225.55555555555554,260.81821982148733,0.0,0.0,12.0,12.0,1615.5555555555557,1039.4444444444443,0.4444444444444444,0.4444444444444444,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.3888888888888889,0.6666666666666666,0.7777777777777778,0.2777777777777778,0.4444444444444444,0.05555555555555555,0.05555555555555555,No,0
PRV51990,89,49,4,18690,210.0,373.65212309166554,160.0,1.797752808988764,12.0,12.0,2031.2359550561798,1187.8651685393259,0.5280898876404494,0.5168539325842697,0.2696629213483146,0.1797752808988764,0.2247191011235955,0.34831460674157305,0.5056179775280899,0.6741573033707865,0.2696629213483146,0.20224719101123595,0.06741573033707865,0.0898876404494382,No,0
PRV51991,31,30,2,9570,308.7096774193548,458.481129640642,0.0,0.0,11.225806451612904,12.0,6295.806451612903,1991.9354838709678,0.4838709677419355,0.7096774193548387,0.3870967741935484,0.0967741935483871,0.3548387096774194,0.5161290322580645,0.6774193548387096,0.7419354838709677,0.25806451612903225,0.3870967741935484,0.16129032258064516,0.22580645161290322,No,0
PRV51992,61,54,2,10790,176.88524590163934,380.76038389695316,190.0,3.1147540983606556,12.0,12.0,8233.27868852459,2491.6393442622953,0.21311475409836064,0.5901639344262295,0.3770491803278688,0.09836065573770492,0.26229508196721313,0.3114754098360656,0.6065573770491803,0.7540983606557377,0.22950819672131148,0.3442622950819672,0.08196721311475409,0.14754098360655737,No,0
PRV51993,2,2,1,230,115.0,120.20815280171308,0.0,0.0,12.0,12.0,3000.0,3055.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,No,0
PRV51994,33,31,4,11780,356.969696969697,536.257196038459,30.0,0.9090909090909091,11.272727272727273,12.0,5099.090909090909,3870.6060606060605,0.42424242424242425,0.696969696969697,0.42424242424242425,0.12121212121212122,0.21212121212121213,0.3939393939393939,0.6363636363636364,0.8484848484848485,0.2727272727272727,0.3333333333333333,0.09090909090909091,0.2727272727272727,No,0
PRV51995,20,20,2,9700,485.0,748.0395430020641,0.0,0.0,12.0,12.0,3636.0,2795.0,0.3,0.55,0.35,0.0,0.25,0.45,0.75,0.75,0.2,0.15,0.05,0.25,No,0
PRV51996,41,38,4,10070,245.609756097561,463.98302113594525,180.0,4.390243902439025,12.0,12.0,6202.4390243902435,2239.0243902439024,0.3170731707317073,0.5609756097560976,0.43902439024390244,0.04878048780487805,0.14634146341463414,0.4146341463414634,0.7073170731707317,0.7804878048780488,0.1951219512195122,0.34146341463414637,0.07317073170731707,0.21951219512195122,No,0
PRV51998,28,28,2,5360,191.42857142857142,425.8996081126117,180.0,6.428571428571429,11.571428571428571,11.928571428571429,2982.1428571428573,1660.0,0.21428571428571427,0.6071428571428571,0.35714285714285715,0.10714285714285714,0.25,0.32142857142857145,0.75,0.8571428571428571,0.21428571428571427,0.35714285714285715,0.03571428571428571,0.14285714285714285,No,0
PRV51999,17,17,3,2660,156.47058823529412,224.63696202068428,0.0,0.0,12.0,12.0,817.6470588235294,852.9411764705883,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.11764705882352941,0.17647058823529413,0.29411764705882354,0.7647058823529411,0.7058823529411765,0.29411764705882354,0.35294117647058826,0.0,0.11764705882352941,No,0
PRV52001,1177,744,13,320620,272.4044180118946,566.011147080974,2850.0,2.421410365335599,11.88785046728972,11.982158028887001,4690.88360237893,2120.569243840272,0.37892948173322005,0.5751911639762107,0.36703483432455397,0.15717926932880205,0.2982158028887001,0.4290569243840272,0.6932880203908242,0.7595581988105352,0.2820730671197961,0.324553950722175,0.06627017841971113,0.14528462192013594,No,0
PRV52002,188,180,107,343260,1825.8510638297873,6320.82440801441,25284.0,135.20855614973263,11.872340425531915,11.936170212765957,6888.882978723404,2142.074468085106,0.42021276595744683,0.5585106382978723,0.42021276595744683,0.16489361702127658,0.26595744680851063,0.526595744680851,0.7074468085106383,0.7712765957446809,0.24468085106382978,0.31382978723404253,0.05319148936170213,0.22872340425531915,Yes,1
PRV52003,154,144,51,806950,5239.935064935065,8409.495916188038,82426.0,535.2337662337662,12.0,12.0,11071.753246753247,2126.4285714285716,0.4935064935064935,0.6493506493506493,0.564935064935065,0.14285714285714285,0.45454545454545453,0.4935064935064935,0.7792207792207793,0.8376623376623377,0.24675324675324675,0.3116883116883117,0.16233766233766234,0.2597402597402597,No,0
PRV52004,47,41,1,15680,333.6170212765957,717.6817313615171,190.0,4.042553191489362,11.74468085106383,11.957446808510639,6802.340425531915,2046.8085106382978,0.2978723404255319,0.6170212765957447,0.40425531914893614,0.14893617021276595,0.2978723404255319,0.425531914893617,0.7872340425531915,0.7659574468085106,0.2553191489361702,0.3191489361702128,0.10638297872340426,0.19148936170212766,No,0
PRV52007,18,18,2,1910,106.11111111111111,121.08037626444622,40.0,2.2222222222222223,12.0,11.444444444444445,2005.5555555555557,1302.2222222222222,0.16666666666666666,0.5,0.2222222222222222,0.0,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,No,0
PRV52008,25,24,3,4830,193.2,293.6369640673099,100.0,4.0,12.0,12.0,3012.0,1706.0,0.4,0.36,0.36,0.16,0.24,0.4,0.68,0.8,0.36,0.28,0.04,0.04,No,0
PRV52009,35,33,4,5770,164.85714285714286,293.5119140639422,200.0,5.714285714285714,12.0,12.0,3457.1428571428573,1541.142857142857,0.45714285714285713,0.6,0.3142857142857143,0.2571428571428571,0.3142857142857143,0.4857142857142857,0.7142857142857143,0.8285714285714286,0.2,0.42857142857142855,0.11428571428571428,0.02857142857142857,No,0
PRV52010,7,7,3,1400,200.0,315.27765540868893,0.0,0.0,12.0,12.0,9148.57142857143,722.8571428571429,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.42857142857142855,0.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857,No,0
PRV52011,26,23,8,7070,271.9230769230769,362.3812272264581,0.0,0.0,12.0,12.0,3821.923076923077,2020.0,0.3076923076923077,0.6538461538461539,0.4230769230769231,0.34615384615384615,0.2692307692307692,0.5384615384615384,0.5769230769230769,0.6538461538461539,0.5,0.4230769230769231,0.038461538461538464,0.07692307692307693,No,0
PRV52012,1,1,1,8000,8000.0,,1068.0,1068.0,12.0,12.0,21000.0,8010.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,No,0
PRV52013,62,56,15,14210,229.19354838709677,535.9297066309141,200.0,3.225806451612903,12.0,12.0,2884.1935483870966,2004.3548387096773,0.4838709677419355,0.5483870967741935,0.4032258064516129,0.12903225806451613,0.3064516129032258,0.3387096774193548,0.7258064516129032,0.7741935483870968,0.3548387096774194,0.2903225806451613,0.08064516129032258,0.12903225806451613,No,0
PRV52014,351,299,113,93890,267.4928774928775,538.7700111820675,950.0,2.7065527065527064,11.863247863247864,11.754985754985755,4401.339031339031,2531.8518518518517,0.3817663817663818,0.5470085470085471,0.3732193732193732,0.150997150997151,0.27350427350427353,0.4358974358974359,0.7236467236467237,0.7549857549857549,0.31054131054131057,0.2962962962962963,0.08831908831908832,0.1737891737891738,No,0
